Nit,Fecha Corte,Punto Entrada,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,"Inversiones en subsidiarias, negocios conjuntos y asociadas",Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Patrimonio total,Total de patrimonio y pasivos
800165605,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,10816,35985,,29520,,,,,76321,,76321,2952926,,,64908,21370938,11253412,,7276601,,,,,,,42918785,42995106,,,,1043,3378,105643,,110064,,110064,,,,4552993,1796178,,3784989,,10134160,10244224,1300864,9981326,,,,,16869597,4599095,32750882,42995106
800165605,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,7800,38081,,79924,,,,,125805,,125805,2850445,,,43625,20605302,10835605,,9150680,,,,,,,43485657,43611462,,,,14408,795,125544,,140747,,140747,,,,5057500,1717611,,4227822,,11002933,11143680,1300864,9981326,,,,,17039900,4145692,32467782,43611462
900220408,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,11779211,753897,,,,,,,12533108,,12533108,,,,,,1192921686,,43342,,,,647489,,,1193612517,1206145625,,,,3555,52754,1155538,0,1211847,,1211847,,,,455301,,,,,455301,1667148,1515799,13186673,,,,75461957,926673727,187640321,1204478477,1206145625
900220408,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,12510090,177524,,,,,,,12687614,,12687614,,,,,,1066227152,,36978,,,,564189,,,1066828319,1079515933,,,,3415,84246,9730,0,97391,,97391,,,,469135,,,,,469135,566526,1515799,13186673,,,0,62739207,856530926,144976802,1078949407,1079515933
830511701,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,0,2861545,,10484,,,,,2872029,,2872029,,,,,53613738,2638476,,,,,,,,,56252214,59124243,,,,1508432,29946,,,1538378,,1538378,,,,,,,,,,1538378,3500641,,,,,,9087244,44997980,57585865,59124243
830511701,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,,2697589,,5543,,,,,2703132,,2703132,,,,,54726112,1532515,,,,,,,,,56258627,58961759,,,,1430638,19378,,,1450016,,1450016,,,,,,,,,,1450016,3500641,,,,,,8537669,45473433,57511743,58961759
860000006,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,57237562,161447596,66310118,2827968,,888668,,,288711912,,288711912,561279,96639636,,10646130,240761473,,,566679,,,,,,,349175197,637887109,4080809,5695796,9776605,228210210,15222366,37203321,,290412502,,290412502,788745,,788745,,13435084,,112730692,,126954521,417367023,31781905,24127852,,,91044606,,40637582,32928141,220520086,637887109
860000006,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,65341923,164752094,61749577,3357761,,849003,,,296050358,,296050358,621017,100202020,,10763690,223076105,,,439158,,,,,,,335101990,631152348,4100975,10030014,14130989,226489692,13700058,37441165,,291761904,,291761904,796217,,796217,,13881458,,117254437,,131932112,423694016,31781905,24880644,,,91044606,,28187062,31564115,207458332,631152348
890300005,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,100387,70195782,19875104,8217037,,,178659,,98566969,,98566969,218753575,155127288,,964,36552885,19864317,,44379010,,,,1084373,,,475762412,574329381,5216603,,5216603,57895157,2611880,31743460,,97467100,,97467100,28772189,724949,29497138,103077520,28401362,,187102780,,348078800,445545900,6482191,546905,0,,,,46549425,75204960,128783481,574329381
890300005,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,522689,19460492,6050341,5454040,,,13747872,,45235434,,45235434,231096985,154078902,,928641,73503419,20859052,,45884724,,,,8396,,,526360119,571595553,4980138,,4980138,45579940,4996021,35330720,2930744,93817563,,93817563,27794660,1070000,28864660,93358892,31453065,,173084308,,326760925,420578488,6882538,10315350,,,,,50965824,82853353,151017065,571595553
